lat,lng,area,cost
55.56319,37.70996,27.1,8536067.0
55.66528,37.73732,13.9,
55.66528,37.73732,13.9,
55.66528,37.73732,18.4,
55.66528,37.73732,32.9,
55.66528,37.73732,32.9,
55.66528,37.73732,28.2,
55.66528,37.73732,16.4,
55.66528,37.73732,17.5,
55.66528,37.73732,14.0,
55.66528,37.73732,14.0,
55.66528,37.73732,16.4,
55.66528,37.73732,14.0,
55.66528,37.73732,17.5,
55.66528,37.73732,14.0,
55.66528,37.73732,14.0,
55.66528,37.73732,14.0,
55.66528,37.73732,17.5,
55.66528,37.73732,49.4,
55.66528,37.73732,16.4,
55.66528,37.73732,16.4,
55.66528,37.73732,22.2,
55.66528,37.73732,22.2,
55.66528,37.73732,16.4,
55.66528,37.73732,49.4,
55.66528,37.73732,14.2,
55.66528,37.73732,14.2,
55.66528,37.73732,17.5,
55.66528,37.73732,43.0,10003950.0
55.66528,37.73732,43.0,
55.66528,37.73732,26.3,
55.66528,37.73732,27.2,
55.66528,37.73732,14.2,
55.66528,37.73732,24.8,
55.66528,37.73732,24.8,
55.66528,37.73732,32.6,
55.66528,37.73732,26.3,
55.66528,37.73732,14.0,
55.66528,37.73732,16.4,
55.66528,37.73732,14.0,
55.66528,37.73732,17.5,
55.66528,37.73732,14.0,6548620.0
55.66528,37.73732,17.5,
55.66528,37.73732,32.1,
55.66528,37.73732,17.5,6265800.0
55.66528,37.73732,17.3,
55.66528,37.73732,17.2,6237120.0
55.66528,37.73732,13.9,
55.66528,37.73732,18.3,
55.66528,37.73732,17.2,
55.66813,37.73724,14.1,
55.66813,37.73724,14.1,
55.66813,37.73724,17.6,
55.66813,37.73724,18.8,
55.66813,37.73724,17.9,
55.66813,37.73724,13.9,
55.66813,37.73724,13.9,
55.66813,37.73724,28.5,
55.66813,37.73724,24.8,
55.66813,37.73724,33.3,
55.66813,37.73724,14.1,
55.66813,37.73724,14.1,
55.66813,37.73724,17.6,
55.66813,37.73724,43.2,
55.66813,37.73724,13.9,
55.66813,37.73724,14.1,
55.66813,37.73724,33.3,
55.66813,37.73724,24.8,
55.66813,37.73724,14.1,
55.66813,37.73724,14.0,
55.66813,37.73724,14.0,
55.66813,37.73724,17.6,
55.66813,37.73724,17.6,
55.66813,37.73724,14.0,
55.66813,37.73724,17.6,
55.66813,37.73724,17.3,
55.66813,37.73724,17.6,
55.66813,37.73724,18.6,
55.66813,37.73724,17.6,
55.66813,37.73724,17.6,
55.66813,37.73724,17.6,
55.66813,37.73724,14.0,
55.66813,37.73724,16.4,
55.66813,37.73724,17.6,
55.66813,37.73724,32.7,
55.66813,37.73724,14.0,
55.66813,37.73724,14.0,
55.66813,37.73724,18.6,
55.66813,37.73724,21.0,
55.66813,37.73724,16.0,
55.66813,37.73724,16.0,
55.66813,37.73724,16.0,
55.66813,37.73724,16.0,
55.66813,37.73724,21.0,
55.66813,37.73724,21.0,
55.66813,37.73724,32.3,
55.66813,37.73724,16.0,
55.66813,37.73724,52.4,
55.66813,37.73724,13.7,
55.66813,37.73724,17.8,
55.66813,37.73724,17.8,
55.66813,37.73724,17.9,
55.66813,37.73724,14.2,
55.66813,37.73724,14.2,
55.66813,37.73724,17.8,
55.66813,37.73724,17.9,
55.66813,37.73724,43.5,
55.66813,37.73724,14.2,
55.66813,37.73724,17.8,
55.66813,37.73724,34.1,
55.66813,37.73724,17.8,
55.66813,37.73724,34.1,
55.66813,37.73724,17.9,
55.66813,37.73724,24.8,
55.66813,37.73724,34.1,
55.66813,37.73724,36.1,
55.66813,37.73724,34.1,
55.66813,37.73724,17.9,
55.66813,37.73724,24.8,
55.66813,37.73724,36.1,
55.66813,37.73724,18.6,
55.66813,37.73724,17.3,
55.66813,37.73724,17.3,
55.66813,37.73724,18.6,
55.66813,37.73724,17.6,
55.66813,37.73724,14.1,
55.66813,37.73724,18.5,
55.66813,37.73724,17.6,
55.66813,37.73724,16.4,6016400.0
55.66813,37.73724,11.8,
55.66813,37.73724,18.5,
55.66813,37.73724,16.4,6016400.0
55.66813,37.73724,11.8,
55.66813,37.73724,17.6,
55.66813,37.73724,18.5,
55.66813,37.73724,28.5,8862630.0
55.66813,37.73724,16.2,
55.53882,37.64536,26.1,7400000.0
55.64488,37.70267,20.0,7000000.0
55.56391,37.71132,,4480558.0
55.56391,37.71132,,5170008.0
55.56391,37.71132,,5514297.0
55.56391,37.71132,,5582924.0
55.56391,37.71132,,8092638.0
55.56419,37.71058,,7592687.0
55.56419,37.71058,,7813516.0
55.56419,37.71058,,8057688.0
55.56397,37.7128,,5321557.0
55.56397,37.7128,,6798057.0
55.56445,37.70929,,5908308.0
55.56445,37.70929,,7663218.0
55.56445,37.70929,,8507778.0
55.56445,37.70929,,8758476.0
55.56445,37.70929,,9134046.0
55.56445,37.70929,,9763327.0
55.56342,37.71033,,5318457.0
55.56342,37.71033,,5487266.0
55.56342,37.71033,,5763753.0
55.65788,37.87537,,
55.6621,37.73068,31.2,11400000.0
55.65488,37.86354,17.0,5000000.0
55.55419,37.81687,14.9,4249576.0
55.55419,37.81687,14.4,5003162.0
55.55419,37.81687,25.0,6660004.0
55.65729,37.87626,10.1,5753060.0
55.60257,37.73418,47.4,18569460.0
55.53879,37.71608,,5150000.0
55.53202,37.71435,36.4,9390000.0
55.53202,37.71435,39.4,10700000.0
55.55419,37.81687,15.2,4286845.0
55.66326,37.85514,23.0,8700000.0
55.53202,37.71435,,5200000.0
55.53188,37.71264,30.1,6440000.0
55.53188,37.71264,16.5,4490000.0
55.53188,37.71264,29.9,5740000.0
55.53188,37.71264,28.8,5970000.0
55.53188,37.71264,25.7,6050000.0
55.53188,37.71264,27.7,
55.53188,37.71264,39.4,6750000.0
55.53188,37.71264,23.4,5190000.0
55.53188,37.71264,15.5,4090000.0
55.53188,37.71264,40.3,7340000.0
55.53188,37.71264,27.6,5390000.0
55.53188,37.71264,23.4,5040000.0
55.65818,37.87258,9.4,3969900.0
55.65818,37.87258,20.0,6817240.0
55.66363,37.73244,12.0,7820900.0
55.66363,37.73244,26.5,7918640.0
55.6608,37.7339,23.3,8567400.0
55.56057,37.70783,10.6,4017878.0
55.56114,37.70186,38.5,7100000.0
55.53428,37.63815,,5479409.0
55.53428,37.63815,,5499777.0
55.53428,37.63815,,5349732.0
55.56057,37.70783,49.3,8531559.0
55.55419,37.81687,10.1,4267887.0
55.55419,37.81687,25.0,6627915.0
55.55419,37.81687,11.4,4429501.0
55.55388,37.81981,14.5,5000000.0
55.53202,37.71435,38.7,9490000.0
55.60207,37.72995,41.8,15725010.0
55.65729,37.87626,10.1,5645660.0
55.55529,37.81813,27.6,5866920.0
55.66813,37.73724,17.6,
55.66821,37.73918,12.0,
55.65943,37.87487,,4200000.0
55.65729,37.87626,30.8,7810620.0
55.66363,37.73244,23.6,10768020.0
55.66363,37.73244,52.6,12372800.0
55.53428,37.63815,,3386249.0
55.66665,37.76031,29.6,12500000.0
55.56445,37.70929,34.4,9285307.0
55.56419,37.71058,36.8,8806614.0
55.5569,37.82275,29.8,7365299.0
55.53269,37.71699,41.1,6838536.0
55.53269,37.71699,33.2,5338144.0
55.66528,37.73732,17.3,5157810.0
55.63889,37.84733,,6852000.0
55.63953,37.8486,,4268700.0
55.64045,37.85112,14.8,5530000.0
55.64046,37.85129,43.8,7975000.0
55.55717,37.70864,29.4,6640000.0
55.64193,37.67772,28.9,9764350.0
55.64193,37.67772,15.4,9160400.0
55.64193,37.67772,24.8,9686200.0
55.53188,37.71264,10.7,3790000.0
55.64391,37.70262,15.2,8106028.0
55.65211,37.9283,,3017136.0
55.65211,37.9283,,3305860.0
55.65211,37.9283,,3331891.0
55.65211,37.9283,,3334429.0
55.65211,37.9283,,3656843.0
55.65211,37.9283,,3278897.0
55.65211,37.9283,,4218421.0
55.65211,37.9283,,2714523.0
55.65462,37.92431,,7392990.0
55.65463,37.92422,,7735593.0
55.65463,37.92422,,3678178.0
55.65463,37.92422,,3710345.0
55.65463,37.92422,,3558608.0
55.65463,37.92422,,3793029.0
55.65463,37.92422,,3536226.0
55.65463,37.92422,,3707907.0
55.65463,37.92422,,3455709.0
55.65463,37.92422,,3538916.0
55.65463,37.92422,,3956184.0
55.65463,37.92422,,7911623.0
55.65463,37.92422,,7394342.0
55.53428,37.63815,,5865576.0
55.59784,37.77113,26.9,5962500.0
55.60207,37.72995,23.4,14322000.0
55.60257,37.73418,30.7,12889800.0
55.66472,37.73383,22.8,9224500.0
55.66472,37.73383,9.1,6937600.0
55.66472,37.73383,24.1,10554960.0
55.66472,37.73383,21.9,10108370.0
55.66477,37.73325,19.2,6864000.0
55.66076,37.72742,10.1,7137800.0
55.66472,37.73383,11.0,5470560.0
55.66076,37.72742,15.9,7837830.0
55.66472,37.73383,36.5,11787480.0
55.66472,37.73383,36.5,11722950.0
55.66472,37.73383,15.9,8030880.0
55.66472,37.73383,15.6,7129170.0
55.66076,37.72742,15.9,7833540.0
55.66076,37.72742,36.5,11185200.0
55.63964,37.85222,14.0,6011790.0
55.63964,37.85222,14.0,6200840.0
55.63964,37.85222,14.0,6011790.0
55.64008,37.85268,16.6,4221270.0
55.63964,37.85222,16.6,4938610.0
55.63964,37.85222,17.1,5006750.0
55.63964,37.85222,17.1,5149800.0
55.63964,37.85222,17.1,4692040.0
55.63964,37.85222,17.1,5006750.0
55.63964,37.85222,17.1,4520380.0
55.63964,37.85222,17.1,5149800.0
55.63964,37.85222,41.0,9451250.0
55.63964,37.85222,28.0,7908990.0
55.63964,37.85222,28.0,7908990.0
55.63964,37.85222,28.0,7908990.0
55.63964,37.85222,13.0,6660510.0
55.63964,37.85222,13.0,6576730.0
55.63964,37.85222,10.2,5051196.0
55.63964,37.85222,12.0,5940540.0
55.63964,37.85222,13.0,6576730.0
55.63964,37.85222,13.0,6576730.0
55.64008,37.85268,28.0,6621480.0
55.63964,37.85222,24.0,7365760.0
55.63964,37.85222,13.0,5399760.0
55.63964,37.85222,14.0,5721600.0
55.63964,37.85222,29.0,7234800.0
55.64008,37.85268,42.0,8174000.0
55.63964,37.85222,14.0,5828880.0
55.63964,37.85222,14.0,5185200.0
55.63964,37.85222,10.2,5940540.0
55.63964,37.85222,23.0,6948240.0
55.63964,37.85222,44.0,9723400.0
55.58605,37.75308,,6961680.0
55.58605,37.75308,,6130800.0
55.58605,37.75308,,5968360.0
